"Seller","Location","Desc","Price","Size","Listed","Url","Followers","Reviews","Stars"
"jthnp","Burbank, United States","Nike Air Max 97 Reflect Silver (great silver bullet alternative) Men’s Size 11.5  Check out the rest of my store for more :)","$100.00","US 11.5","LISTED 3 DAYS AGO","https://www.depop.com/products/jthnp-nike-air-max-97-reflect/","19","3","Full Star<Full Star<Full Star<Full Star<Full Star"
"zaydo164","London, GB","🔥SOLD SOLD SOLD SOLD🔥 Nike Air Max 97 Silver Bullet UK 11 ","£120.00","UK 11","LISTED 10 MONTHS AGO","https://www.depop.com/products/zaydo164-nike-air-max-97-silver/","87","4","Full Star<Full Star<Full Star<Full Star<Full Star"
"rocxnoir","London, United Kingdom","Nike Air Max 97 OG 'Silver Bullet' QS. *Very Rare* only worn few times. Great condition (8.5/10) Size UK 11","£220.00","UK 11","LISTED 2 DAYS AGO","https://www.depop.com/products/rocxnoir-nike-air-max-97-og/","20","3","Full Star<Full Star<Full Star<Full Star<Full Star"
"supjan","Amriswil, Schweiz","selling these nike airmax 97 silverbullet 16  size 11/45  cond 8/10  without box only shoes  dm before buying   #nike #supreme #97 #shoes #steal","CHF190.00","UK 10","LISTED 16 DAYS AGO","https://www.depop.com/products/supjan-selling-these-nike-airmax-97/","20","0","Empty Star<Empty Star<Empty Star<Empty Star<Empty Star"
"ant_j54","Bridgeton, United States","Air VaporMax 97 “Silver Bullet” MENS US 11.5 Sold Out On Nike SNKRS On Goat for $190 You do the math  #sneakers #nike #airmax #vintage #supreme #bape #guess #depop","$130.00","US 11.5","LISTED 1 YEAR AGO","https://www.depop.com/products/ant_j54-air-vapormax-97-silver-bullet/","227","3","Full Star<Full Star<Full Star<Full Star<Full Star"
"newandvintagedripp","Pueblo, United States"," Nike LeBron Soldier XI 11 SFG ‘Silver Bullet’ Basketball Shoes (897646-007). Men’s size 11. Metallic Silver/University Red-Black-White. Super cool pair of sneakers! They are brand new but they do have some very slight creasing on the midsoles due to being tried on in the store (as shown in pics). However, it’s hardly even noticeable! No original box.  “Drawing influence from the nostalgia of the ‘Silver Bullet’ rendition of the Air Max 97, the LeBron Soldier 11 applies the same silver color palette. Featuring a metallic silver finish on its virtually seamless construction, red accents emerge on the Swoosh and branding. Four Velcro straps replace the need for laces, working in conjunction with the inner bootie construction.”  The shoe has reflective accents, a familiar colorway, a striped sole, and a small Swoosh hit on the upper that all connect it to the Air Max 97.   #nike #shoes #sneakers #jordan #basketball","$159.99","US 11","LISTED 3 MONTHS AGO","https://www.depop.com/products/newandvintagedripp-nike-lebron-soldier-xi-11/","329","32","Full Star<Full Star<Full Star<Full Star<Full Star"
"cyrill32","Zürich, Schweiz","Nike Air Max 97 Silver Bullet Size US 11 Condition 9/10 (Rarely worn)  DM Me on instagram if you‘re interessted!!!! @crllbnk  (Price: 200.-)","CHF1000.00","UK 10","LISTED 10 MONTHS AGO","https://www.depop.com/products/cyrill32-nike-air-max-97-silver/","22","0","Empty Star<Empty Star<Empty Star<Empty Star<Empty Star"
"bilal707","Chelmsford, United Kingdom","Nike air max 97 QS 'silver bullet' sizes UK 8 / 8.5 / 9 / 10 and 10.5 available.….....…......…........................................…platinum white Nike Air Jordan Supreme Future Gamma Bred Ralph Lauren Moncler Boss Stussy Versace Balenciaga Liberty Roshe Huarache Air max 95 97 90 1 Hyperfuse Independence Day roshe roshes kd lebron Zara urban trainers 1 2 3 4 5 6 11 patta asics parra atmos lebron puma gold","£135.00","£135.00","LISTED 1 YEAR AGO","https://www.depop.com/products/nike-air-max-97-qs/","5395","18","Full Star<Full Star<Full Star<Full Star<Full Star"
"manfalo","Milano, Italia","NIKE AIR MAX 97 SILVER OG QS BULLET  Size: US EU 8 - 41 SOLD ❌ 9.5 - 43 SOLD ❌ 10 - 44 SOLD ❌ 10.5 - 44.5 x 1 € 340 11 - 45 x 2 € 330 11.5 - 45.5 x 2 € 330 12 - 46 x 1 € 350  Ds new never worn / scarpe nuove da negozio  Ship word wide o meet up Milano 🌍📦  Contattatemi in privato per info e foto/ Contact me in pm for pics and info   #Nike #Airmax 97 #og #bullet #silver","€240.00","One size","LISTED 2 DAYS AGO","https://www.depop.com/products/manfalo-nike-air-max-97-silver-2/","20","0","Empty Star<Empty Star<Empty Star<Empty Star<Empty Star"
"smacke55","San Diego, United States","Nike Airmax 97 “Silver Bullets” sz 11. will take offers Worn a few times. Great condition. #Nike #AirMax #sneakers #streetwear #sneakerhead","$85.00","US 11","LISTED 11 DAYS AGO","https://www.depop.com/products/smacke55-nike-airmax-97-silver-bullets/","5","0","Empty Star<Empty Star<Empty Star<Empty Star<Empty Star"
"brownjac","Illes Balears, Spain","Anyone intrested Nike air max 97 silver bullets 8.5/10 condition OG size UK 11 want around £125 ???? Not palace supreme Nike adidas basement cav empt camo playboy","£135.00","UK 11","LISTED 1 YEAR AGO","https://www.depop.com/products/brownjac-anyone-intrested-nike-air-max/","955","11","Full Star<Full Star<Full Star<Full Star<Full Star"
